City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mejit,10.2753,170.8646,80.92,79,41,15.39,MH,1745380684
1,aoulef,26.9667,1.0833,71.11,17,83,10.54,DZ,1745380685
2,waitangi,-43.9535,-176.5597,50.83,80,88,8.99,NZ,1745380519
3,new norfolk,-42.7826,147.0587,64.92,47,6,1.9,AU,1745380687
4,lindi,-10.0,39.7167,72.82,98,29,3.83,TZ,1745380689
5,nueva esperanza,15.2667,-87.6,78.21,89,51,0.74,HN,1745380691
6,nam som,17.7704,102.1895,92.48,45,4,6.26,TH,1745380479
7,blackmans bay,-43.0167,147.3167,64.53,58,6,1.01,AU,1745380693
8,kailua-kona,19.6406,-155.9956,82.36,72,20,10.36,US,1745380694
9,invercargill,-46.4,168.35,53.02,62,58,4.0,NZ,1745380695
10,gebeit,21.0667,36.3167,76.41,23,0,6.53,SD,1745380696
11,dryden,49.7833,-92.7503,39.49,93,100,13.8,CA,1745380122
12,klyuchi,52.2667,79.1667,65.28,46,6,11.07,RU,1745380698
13,ushuaia,-54.8,-68.3,47.86,71,40,3.44,AR,1745380507
14,uruzgan,32.8333,66.0,65.79,14,16,1.19,AF,1745380700
15,grytviken,-54.2811,-36.5092,30.27,82,73,4.12,GS,1745380702
16,nar'yan-mar,67.6713,53.087,20.55,87,44,14.47,RU,1745380703
17,edinburgh of the seven seas,-37.0676,-12.3116,65.77,93,100,35.1,SH,1745380704
18,jamestown,42.097,-79.2353,43.02,74,33,1.99,US,1745380493
19,westport,41.1415,-73.3579,60.57,60,0,0.0,US,1745380706
20,christchurch,-43.5333,172.6333,51.94,67,100,6.91,NZ,1745380707
21,port-aux-francais,-49.35,70.2167,44.92,86,100,32.06,TF,1745380708
22,utrik,11.2278,169.8474,81.12,75,61,14.65,MH,1745380709
23,bethel,41.3712,-73.414,64.49,36,0,3.44,US,1745380710
24,papatowai,-46.5619,169.4708,49.93,58,87,6.35,NZ,1745380712
25,hermanus,-34.4187,19.2345,60.8,86,6,9.1,ZA,1745380714
26,obama,35.4958,135.746,61.74,99,100,5.5,JP,1745380715
27,port isabel,26.0734,-97.2086,77.02,89,75,11.5,US,1745380716
28,lebu,-37.6167,-73.65,58.66,98,100,6.44,CL,1745380717
29,talnakh,69.4865,88.3972,19.26,89,100,0.78,RU,1745380718
30,nantucket,41.2835,-70.0995,47.14,100,0,5.75,US,1745380664
31,san patricio,28.017,-97.5169,75.15,89,38,11.99,US,1745380720
32,ilhabela,-23.7781,-45.3581,70.0,84,86,2.21,BR,1745380582
33,bikenibeu village,1.3673,173.1241,84.16,84,75,3.44,KI,1745380722
34,ilulissat,69.2167,-51.1,23.02,93,100,3.44,GL,1745380723
35,adamstown,-25.066,-130.1015,75.76,83,88,9.1,PN,1745380724
36,portland,45.5234,-122.6762,57.79,48,0,5.66,US,1745380160
37,avarua,-21.2078,-159.775,82.45,83,75,17.27,CK,1745380727
38,udachny,66.4167,112.4,22.35,84,100,15.35,RU,1745380728
39,qarqin,37.4185,66.0436,74.07,21,1,7.85,AF,1745380729
40,port mathurin,-19.6833,63.4167,80.98,74,18,14.27,MU,1745380730
41,keflavik,64.0049,-22.5624,39.63,87,100,4.61,IS,1745380731
42,iqaluit,63.7506,-68.5145,31.73,80,75,6.91,CA,1745380732
43,puerto natales,-51.7236,-72.4875,38.1,87,44,3.67,CL,1745380733
44,tiksi,71.6872,128.8694,29.03,85,53,2.21,RU,1745380734
45,lihue,21.9789,-159.3672,74.79,78,75,5.75,US,1745380735
46,lincoln,40.8,-96.667,61.56,55,0,6.91,US,1745380267
47,afaahiti,-17.75,-149.2833,77.92,84,82,22.08,PF,1745380740
48,copiapo,-27.3667,-70.3333,56.53,88,0,2.75,CL,1745380476
49,port elizabeth,-33.918,25.5701,61.09,99,75,6.91,ZA,1745380742
50,colchani,-20.3,-66.9333,41.83,78,97,9.04,BO,1745380743
51,tazovsky,67.4667,78.7,10.85,90,100,17.4,RU,1745380744
52,cabo san lucas,22.8909,-109.9124,65.64,73,43,14.47,MX,1745380745
53,arraial do cabo,-22.9661,-42.0278,73.04,76,100,1.25,BR,1745380746
54,badger,64.8,-147.5333,48.45,43,100,5.75,US,1745380747
55,petropavlovsk-kamchatsky,53.0452,158.6483,37.99,81,75,13.42,RU,1745380748
56,happy valley-goose bay,53.3168,-60.3315,32.31,86,40,5.75,CA,1745380750
57,mogocha,53.7333,119.7667,35.47,70,100,16.44,RU,1745380527
58,acarau,-2.8856,-40.12,76.41,90,100,4.79,BR,1745380752
59,puerto aysen,-45.4,-72.7,52.02,99,100,5.23,CL,1745380753
60,hotan,37.0997,79.9269,63.0,35,42,2.64,CN,1745380754
61,albany,42.6001,-73.9662,49.8,67,100,7.09,US,1745380556
62,emerald,-23.5333,148.1667,77.32,30,0,6.89,AU,1745380756
63,selfoss,63.9331,-20.9971,37.04,71,30,5.93,IS,1745380757
64,bredasdorp,-34.5322,20.0403,57.85,87,47,6.44,ZA,1745380758
65,colorado,-22.8375,-51.9731,67.15,72,99,6.06,BR,1745380759
66,karratha,-20.7377,116.8463,92.23,44,5,11.23,AU,1745380760
67,tongchuan,35.0806,109.0897,75.31,9,86,2.64,CN,1745380761
68,minas de marcona,-15.2119,-75.1103,59.43,83,82,7.81,PE,1745380763
69,mahina,-17.5065,-149.489,80.37,78,75,9.22,PF,1745380764
70,oranjemund,-28.55,16.4333,56.25,91,0,1.99,NA,1745380765
71,fortuna,40.5982,-124.1573,49.35,81,79,5.66,US,1745380166
72,nova vicosa,-17.8919,-39.3719,76.64,74,89,8.37,BR,1745380767
73,muncheberg,52.5,14.1333,44.62,93,95,1.57,DE,1745380768
74,kerikeri,-35.2268,173.9474,69.91,78,88,1.97,NZ,1745380769
75,petropavlovka,50.6114,105.3196,39.02,22,4,10.49,RU,1745380770
76,punta arenas,-53.15,-70.9167,39.31,87,0,12.66,CL,1745380771
77,rongelap,11.1635,166.8941,81.54,73,77,14.81,MH,1745380772
78,pathein,16.7833,94.7333,95.31,42,97,9.42,MM,1745380773
79,quba,41.3626,48.5152,59.25,67,87,3.69,AZ,1745380774
80,west island,-12.1568,96.8225,84.18,89,20,13.8,CC,1745380775
81,yellowknife,62.456,-114.3525,30.72,61,40,6.91,CA,1745380503
82,tura,25.5198,90.2201,79.7,87,98,9.1,IN,1745380778
83,santa vitoria do palmar,-33.5189,-53.3681,59.29,80,95,6.15,BR,1745380779
84,okha,53.5739,142.9478,36.32,76,100,8.48,RU,1745380781
85,longyearbyen,78.2186,15.6401,15.64,62,75,17.27,SJ,1745380782
86,alice springs,-23.7,133.8833,71.15,33,0,12.66,AU,1745380783
87,maputo,-25.9653,32.5892,69.48,85,75,11.99,MZ,1745380784
88,nemuro,43.3236,145.575,37.78,99,100,6.02,JP,1745380785
